fec_candidate_id,name,party,state,national_party
S6MN00580,"SOLOMON, GAVIN",REP,MN,REPUBLICAN PARTY
S6TN00422,"SOLOMON, GAVIN",REP,TN,REPUBLICAN PARTY
S6WY00233,"SOLOMON, GAVIN",REP,WY,REPUBLICAN PARTY
S6MI00582,"SOLOMON, GAVIN",REP,MI,REPUBLICAN PARTY
S6ND00124,"SOLOMON, GAVIN",REP,ND,REPUBLICAN PARTY
S6CA01111,"SOLOMON, GAVIN",REP,CA,REPUBLICAN PARTY
S6HI00321,"SOLOMON, GAVIN",REP,HI,REPUBLICAN PARTY
S6GA00473,"SOLOMON, GAVIN",REP,GA,REPUBLICAN PARTY
S6TX00644,"SOLOMON, GAVIN",REP,TX,REPUBLICAN PARTY
S6CA01129,"SOLOMON, GAVIN",REP,CA,REPUBLICAN PARTY
S6NE00186,"SOLOMON, GAVIN",REP,NE,REPUBLICAN PARTY
S6LA00698,"SPENCER, MARK",REP,LA,REPUBLICAN PARTY
S6KS00262,"SPIDEL NEUMANN, SANDY",DEM,KS,DEMOCRATIC PARTY
S6FL00574,"STANDRIDGE, JASON CLYDE MR.",AMP,FL,AMERICAN PARTY
S6MI00509,"STEPHENS, THOMAS WAYNE",NPA,MI,NO PARTY AFFILIATION
S6PA00365,"STEVENS, DENNIS GENE",DEM,PA,DEMOCRATIC PARTY
S6FL00707,"STEVENS, DENNIS GENE MR",DEM,FL,DEMOCRATIC PARTY
S6FL00715,"STEVENS, DENNIS GENE MR",DEM,FL,DEMOCRATIC PARTY
S6MI00426,"STEVENS, HALEY",DEM,MI,DEMOCRATIC PARTY
S4NE00264,"STEVENS, MAC",REP,NE,REPUBLICAN PARTY
S6KY00211,"STEVENSON, PAMELA",DEM,KY,DEMOCRATIC PARTY
S6DE00222,"STEVENS, TRAVIS",DEM,DE,DEMOCRATIC PARTY
S6IL00458,"STRATTON, JULIANA",DEM,IL,DEMOCRATIC PARTY
S6SC04320,"STRUNGE, EDWARD IV",ICD,SC,INDEPENDENT CONSERVATIVE DEMOCRATIC
S4AK00214,"SULLIVAN, DAN",REP,AK,REPUBLICAN PARTY
S6AK00326,"SULLIVAN, DANIEL J",REP,AK,REPUBLICAN PARTY
S6NH00190,"SULLIVAN, JARED",DEM,NH,DEMOCRATIC PARTY
S6NH00208,"SUNUNU, JOHN E",REP,NH,REPUBLICAN PARTY
S6TN00398,"SUTMAN, DAVID JR",IND,TN,INDEPENDENT
S6IL00409,"SWANN, CHRISTOPHER ALEXANDER",DEM,IL,DEMOCRATIC PARTY
S6TX00396,"SWANSON, MICHAEL",DEM,TX,DEMOCRATIC PARTY
S6OK04148,"SWEARENGIN, TAMMY",REP,OK,REPUBLICAN PARTY
S6AL00435,"SWEETSER, KYLE",DEM,AL,DEMOCRATIC PARTY
S6NJ00420,"TABOR, RICHARD JEROME SR",REP,NJ,REPUBLICAN PARTY
S6MA00288,"TACHE, JOSEPH",OTH,MA,OTHER
S6MN00556,"TAFOYA, MICHELE",REP,MN,REPUBLICAN PARTY
S6TX00479,"TALARICO, JAMES",DEM,TX,DEMOCRATIC PARTY
S6MN00564,"TAMBORNINO, EDWARD HAROLD",UN,MN,UNAFFILIATED
S6FL00871,"TANEJA PERRY, NEELAM DR",REP,FL,REPUBLICAN PARTY
S6MI00459,"TATE, JOSEPH ALLEN",DEM,MI,DEMOCRATIC PARTY
S6KS00296,"TAYLOR, NOAH",DEM,KS,DEMOCRATIC PARTY
S6NC00548,"TEMPLE, ELIZABETH A.",REP,NC,REPUBLICAN PARTY
S6GA00309,"TEMPLE, RICK",REP,GA,REPUBLICAN PARTY
S6OK04163,"THOMAS, N'KIYLA JASMINE - ANN",DEM,OK,DEMOCRATIC PARTY
S6KY00310,"THOMPSON, VINCENT ANTHONY",DEM,KY,DEMOCRATIC PARTY
S4NC00162,"TILLIS, THOM R SEN",REP,NC,REPUBLICAN PARTY
S2IL00234,"TILLMAN, JIMMY LEE II",REP,IL,REPUBLICAN PARTY
S6MS00141,"TILL, PRISCILLA WILLIAMS",DEM,MS,DEMOCRATIC PARTY
S6MS00158,"TILL, PRISCILLA WILLIAMS",DEM,MS,DEMOCRATIC PARTY
S6NJ00362,"TOMAINI, GREGORY RICHARD COLONEL",DEM,NJ,DEMOCRATIC PARTY
S4FL00769,"TOULME, ALIX CHRISTOPHER MR. JR.",REP,FL,REPUBLICAN PARTY
S6IL00615,"TRACY, DON",REP,IL,REPUBLICAN PARTY
S6TX00529,"TRAKAS, ANDREW KYLE",REP,TX,REPUBLICAN PARTY
S6KY00203,"TRIMBLE, JACOB DANIEL",REP,KY,REPUBLICAN PARTY
S6TX00487,"TRUELSON, HANS",NNE,TX,NONE
S0AL00230,"TUBERVILLE, THOMAS H",REP,AL,REPUBLICAN PARTY
S6IA00298,"TUREK, JOSHUA",DEM,IA,DEMOCRATIC PARTY
S6FL00855,"VINDMAN, ALEXANDER",DEM,FL,DEMOCRATIC PARTY
S6TX00412,"VIRTS, TERRY",DEM,TX,DEMOCRATIC PARTY
S6OH00346,"VOLPE, CHRISTOPHER",DEM,OH,DEMOCRATIC PARTY
S6OH00353,"VOLPE, CHRISTOPHER",DEM,OH,DEMOCRATIC PARTY
S6AR00223,"WADLIN, JEFFREY FRANCIS",LIB,AR,LIBERTARIAN PARTY
S6IA00272,"WAHLS, ZACH P",DEM,IA,DEMOCRATIC PARTY
S6LA00623,"WALKER, JABARIE",DEM,LA,DEMOCRATIC PARTY
S6LA00649,"WALKER, JABARIE",DEM,LA,DEMOCRATIC PARTY
S6LA00631,"WALKER, JABARIE",DEM,LA,DEMOCRATIC PARTY
S6AL00468,"WALKER, RODNEY",REP,AL,REPUBLICAN PARTY
S4MT00209,"WALKINGCHILD, CHARLES SR",REP,MT,REPUBLICAN PARTY
S6FL00442,"WALLS-WINDHAUSER, ANGELA MARIE",REP,FL,REPUBLICAN PARTY
S6MD03680,"WARD III, JUSTIN HARVEY RANDOLPH",DEM,MD,DEMOCRATIC PARTY
S6VA00093,"WARNER, MARK ROBERT",DEM,VA,DEMOCRATIC PARTY
S6OK04221,"WASHINGTON, WAYNE LONNY DR.",REP,OK,REPUBLICAN PARTY
S6RI00262,"WATERS, ALLEN",REP,RI,REPUBLICAN PARTY
S6GA00283,"WATKINS, VINSON L",REP,GA,REPUBLICAN PARTY
S6ME00480,"WEBB, ASHLEY JAMES",DEM,ME,DEMOCRATIC PARTY
S6MN00515,"WEILER, TOM",REP,MN,REPUBLICAN PARTY
S2FL00466,"WEIL, JOSHUA",DEM,FL,DEMOCRATIC PARTY
S6FL00756,"WEIL, JOSHUA JOSEPH",DEM,FL,DEMOCRATIC PARTY
S6KY00393,"WENZEL, DONALD RAY",REP,KY,REPUBLICAN PARTY
S6AL00518,"WESS, EVERETT W",DEM,AL,DEMOCRATIC PARTY
S6NC00415,"WHATLEY, MICHAEL",REP,NC,REPUBLICAN PARTY
S6AL00393,"WHEELER, MARK SHANNON MR II",DEM,AL,DEMOCRATIC PARTY
S6SC04247,"WHITENER, KASIE DR.",LIB,SC,LIBERTARIAN PARTY
S4MN00502,"WHITE, ROYCE",REP,MN,REPUBLICAN PARTY
S0AR00218,"WHITFIELD, DANIEL ALLEN",DEM,AR,DEMOCRATIC PARTY
S6MN00572,"WHITING, REBECCA",LIB,MN,LIBERTARIAN PARTY
S6TN00414,"WHITSON, CATHERINE BARCEL MS BARCY",IND,TN,INDEPENDENT
S6KY00336,"WILLETT, JOEL",DEM,KY,DEMOCRATIC PARTY
S6VA00200,"WILLIAMS, DAVID EARL MR.",REP,VA,REPUBLICAN PARTY
S6CO00531,"WILLIAMS, JESSICA",DEM,CO,DEMOCRATIC PARTY
S8NC00270,"WILLIAMS, MARCUS W.",DEM,NC,DEMOCRATIC PARTY
S6TX00537,"WILLIAMS, PAULA STEPHEN MS",DEM,TX,DEMOCRATIC PARTY
S6WV00162,"WILLIS, THOMAS EDWARD II",REP,WV,REPUBLICAN PARTY
S8MI00422,"WILLIS, VALERIE LEE",IND,MI,INDEPENDENT
S6WV00204,"WILSON, S. MARSHALL",CON,WV,CONSTITUTION PARTY
S6FL00814,"WINDHAUSER, ANGIE",REP,FL,REPUBLICAN PARTY
S6CO00564,"WITHROW, ADAM",UNI,CO,UNITED PARTY
S6ME00332,"WOOD, JORDAN",DEM,ME,DEMOCRATIC PARTY
S6CO00432,"WOOD, MATTHEW",IND,CO,INDEPENDENT
S6SC04205,"WRIGHT-MCDONALD, REECE",IND,SC,INDEPENDENT
S6SC04429,"WRIGHT-MCDONALD, REECE",REP,SC,REPUBLICAN PARTY
S6TX00313,"WYATT, DOC LEO DR",REP,TX,REPUBLICAN PARTY
S6LA00532,"WYATT, SAMUEL LEE MR.",REP,LA,REPUBLICAN PARTY
S6OK04270,"YEN, ERVIN STONE DR",DEM,OK,DEMOCRATIC PARTY
S6MN00549,"YORK, MARK",REP,MN,REPUBLICAN PARTY
S6IN00274,"YOUNG, ALEEM MR",DEM,IN,DEMOCRATIC PARTY
S6NJ00412,"ZDAN, ALEX",REP,NJ,REPUBLICAN PARTY
S6CO00465,"ZIMPFER, ANTHONY JACOB",DEM,CO,DEMOCRATIC PARTY
S6MI00483,"ZOLLNER, TRAVIS JOSEPH",DEM,MI,DEMOCRATIC PARTY
